State ID,State,Year,Expenses Type ID,Expenses Type,Amount Approved
17,Morelos,2020,8,Gasto de Obra Pública,1750663817
17,Morelos,2021,8,Gasto de Obra Pública,1082646076
18,Nayarit,2013,8,Gasto de Obra Pública,2723340174
18,Nayarit,2014,8,Gasto de Obra Pública,1885159071
18,Nayarit,2015,8,Gasto de Obra Pública,2692213501
18,Nayarit,2016,8,Gasto de Obra Pública,2483386914
18,Nayarit,2017,8,Gasto de Obra Pública,1737674888
18,Nayarit,2018,8,Gasto de Obra Pública,1463095412
18,Nayarit,2019,8,Gasto de Obra Pública,2055547084
18,Nayarit,2020,8,Gasto de Obra Pública,1942275159
18,Nayarit,2021,8,Gasto de Obra Pública,2837202277
19,Nuevo León,2013,8,Gasto de Obra Pública,7356703888
19,Nuevo León,2014,8,Gasto de Obra Pública,7205528327
19,Nuevo León,2015,8,Gasto de Obra Pública,10778194837
19,Nuevo León,2016,8,Gasto de Obra Pública,6069886045
19,Nuevo León,2017,8,Gasto de Obra Pública,3455341076
19,Nuevo León,2018,8,Gasto de Obra Pública,3859307733
19,Nuevo León,2019,8,Gasto de Obra Pública,3706676853
19,Nuevo León,2020,8,Gasto de Obra Pública,4077825676
19,Nuevo León,2021,8,Gasto de Obra Pública,4076763357
20,Oaxaca,2013,8,Gasto de Obra Pública,10509866000
20,Oaxaca,2014,8,Gasto de Obra Pública,12750604262
20,Oaxaca,2015,8,Gasto de Obra Pública,11110221386
20,Oaxaca,2016,8,Gasto de Obra Pública,10973114145
20,Oaxaca,2017,8,Gasto de Obra Pública,9410171235
20,Oaxaca,2018,8,Gasto de Obra Pública,11675200677
20,Oaxaca,2019,8,Gasto de Obra Pública,13699413714
20,Oaxaca,2020,8,Gasto de Obra Pública,17567270895
20,Oaxaca,2021,8,Gasto de Obra Pública,16831431111
21,Puebla,2013,8,Gasto de Obra Pública,6949571433
21,Puebla,2014,8,Gasto de Obra Pública,7542350537
21,Puebla,2015,8,Gasto de Obra Pública,8254402172
21,Puebla,2016,8,Gasto de Obra Pública,7353924886
21,Puebla,2017,8,Gasto de Obra Pública,6590507201
21,Puebla,2018,8,Gasto de Obra Pública,6680301705
21,Puebla,2019,8,Gasto de Obra Pública,9652816191
21,Puebla,2020,8,Gasto de Obra Pública,8745712519
21,Puebla,2021,8,Gasto de Obra Pública,6531111952
22,Querétaro,2013,8,Gasto de Obra Pública,1978048418
22,Querétaro,2014,8,Gasto de Obra Pública,2482520238
22,Querétaro,2015,8,Gasto de Obra Pública,5538892210
22,Querétaro,2016,8,Gasto de Obra Pública,3865521859
22,Querétaro,2017,8,Gasto de Obra Pública,4339940513
22,Querétaro,2018,8,Gasto de Obra Pública,2140819240
22,Querétaro,2019,8,Gasto de Obra Pública,1824268026
22,Querétaro,2020,8,Gasto de Obra Pública,1849215299
22,Querétaro,2021,8,Gasto de Obra Pública,1713014580
23,Quintana Roo,2013,8,Gasto de Obra Pública,1970335379
23,Quintana Roo,2014,8,Gasto de Obra Pública,3797645393
23,Quintana Roo,2015,8,Gasto de Obra Pública,2095805928
23,Quintana Roo,2016,8,Gasto de Obra Pública,1675163980
23,Quintana Roo,2017,8,Gasto de Obra Pública,2482784672
23,Quintana Roo,2018,8,Gasto de Obra Pública,1577529247
23,Quintana Roo,2019,8,Gasto de Obra Pública,1852379838
23,Quintana Roo,2020,8,Gasto de Obra Pública,1570941966
23,Quintana Roo,2021,8,Gasto de Obra Pública,5378670520
24,San Luis Potosí,2013,8,Gasto de Obra Pública,3648794347
24,San Luis Potosí,2014,8,Gasto de Obra Pública,3777247557
24,San Luis Potosí,2015,8,Gasto de Obra Pública,3973728424
24,San Luis Potosí,2016,8,Gasto de Obra Pública,4493537744
24,San Luis Potosí,2017,8,Gasto de Obra Pública,3071844827
24,San Luis Potosí,2018,8,Gasto de Obra Pública,3298817484
24,San Luis Potosí,2019,8,Gasto de Obra Pública,3446428248
24,San Luis Potosí,2020,8,Gasto de Obra Pública,3241758710
24,San Luis Potosí,2021,8,Gasto de Obra Pública,3169941389
25,Sinaloa,2013,8,Gasto de Obra Pública,3292036294
25,Sinaloa,2014,8,Gasto de Obra Pública,5775195152
25,Sinaloa,2015,8,Gasto de Obra Pública,6339632902
25,Sinaloa,2016,8,Gasto de Obra Pública,6292155851
25,Sinaloa,2017,8,Gasto de Obra Pública,2564575026
25,Sinaloa,2018,8,Gasto de Obra Pública,2933571171
25,Sinaloa,2019,8,Gasto de Obra Pública,2648258759
25,Sinaloa,2020,8,Gasto de Obra Pública,4133468056
25,Sinaloa,2021,8,Gasto de Obra Pública,4062949217
26,Sonora,2013,8,Gasto de Obra Pública,4465273769
26,Sonora,2014,8,Gasto de Obra Pública,5040127242
26,Sonora,2015,8,Gasto de Obra Pública,4883180415
26,Sonora,2016,8,Gasto de Obra Pública,4759231696
26,Sonora,2017,8,Gasto de Obra Pública,1725263163
26,Sonora,2018,8,Gasto de Obra Pública,2194153522
26,Sonora,2019,8,Gasto de Obra Pública,3191538746
26,Sonora,2020,8,Gasto de Obra Pública,2767475012
26,Sonora,2021,8,Gasto de Obra Pública,2142694615
27,Tabasco,2013,8,Gasto de Obra Pública,114211607560
27,Tabasco,2014,8,Gasto de Obra Pública,135979718369
27,Tabasco,2015,8,Gasto de Obra Pública,94865468196
27,Tabasco,2016,8,Gasto de Obra Pública,58077701660
27,Tabasco,2017,8,Gasto de Obra Pública,47283222346
27,Tabasco,2018,8,Gasto de Obra Pública,57677898047
27,Tabasco,2019,8,Gasto de Obra Pública,121696703580
27,Tabasco,2020,8,Gasto de Obra Pública,87261180698
27,Tabasco,2021,8,Gasto de Obra Pública,122466821887
28,Tamaulipas,2013,8,Gasto de Obra Pública,10769649820
28,Tamaulipas,2014,8,Gasto de Obra Pública,22981494061
28,Tamaulipas,2015,8,Gasto de Obra Pública,10250946882
28,Tamaulipas,2016,8,Gasto de Obra Pública,8464789460
28,Tamaulipas,2017,8,Gasto de Obra Pública,7317142047
28,Tamaulipas,2018,8,Gasto de Obra Pública,6699520339
28,Tamaulipas,2019,8,Gasto de Obra Pública,6546026880
28,Tamaulipas,2020,8,Gasto de Obra Pública,5635097724
28,Tamaulipas,2021,8,Gasto de Obra Pública,3449539674
29,Tlaxcala,2013,8,Gasto de Obra Pública,5731960444
29,Tlaxcala,2014,8,Gasto de Obra Pública,1810653528
29,Tlaxcala,2015,8,Gasto de Obra Pública,1758427414
29,Tlaxcala,2016,8,Gasto de Obra Pública,1212329635
29,Tlaxcala,2017,8,Gasto de Obra Pública,961567199
29,Tlaxcala,2018,8,Gasto de Obra Pública,1015194746
29,Tlaxcala,2019,8,Gasto de Obra Pública,1281160940
29,Tlaxcala,2020,8,Gasto de Obra Pública,1198063012
29,Tlaxcala,2021,8,Gasto de Obra Pública,895714758
30,Veracruz de Ignacio de la Llave,2013,8,Gasto de Obra Pública,56306827812
30,Veracruz de Ignacio de la Llave,2014,8,Gasto de Obra Pública,53882253454
30,Veracruz de Ignacio de la Llave,2015,8,Gasto de Obra Pública,41415125944
30,Veracruz de Ignacio de la Llave,2016,8,Gasto de Obra Pública,39937067116
30,Veracruz de Ignacio de la Llave,2017,8,Gasto de Obra Pública,28578995291
30,Veracruz de Ignacio de la Llave,2018,8,Gasto de Obra Pública,26978837544
30,Veracruz de Ignacio de la Llave,2019,8,Gasto de Obra Pública,21968737123
30,Veracruz de Ignacio de la Llave,2020,8,Gasto de Obra Pública,33355092755
30,Veracruz de Ignacio de la Llave,2021,8,Gasto de Obra Pública,25947400859
31,Yucatán,2013,8,Gasto de Obra Pública,2996967680
31,Yucatán,2014,8,Gasto de Obra Pública,3870558296
31,Yucatán,2015,8,Gasto de Obra Pública,3879381728
31,Yucatán,2016,8,Gasto de Obra Pública,4462081048
31,Yucatán,2017,8,Gasto de Obra Pública,4083206552
31,Yucatán,2018,8,Gasto de Obra Pública,3096657566
31,Yucatán,2019,8,Gasto de Obra Pública,3064347028
31,Yucatán,2020,8,Gasto de Obra Pública,2308676495
31,Yucatán,2021,8,Gasto de Obra Pública,14312142892
32,Zacatecas,2013,8,Gasto de Obra Pública,2951903703
32,Zacatecas,2014,8,Gasto de Obra Pública,3147958021
32,Zacatecas,2015,8,Gasto de Obra Pública,3180366691
32,Zacatecas,2016,8,Gasto de Obra Pública,2628053888
32,Zacatecas,2017,8,Gasto de Obra Pública,1992505733
32,Zacatecas,2018,8,Gasto de Obra Pública,2284882371
32,Zacatecas,2019,8,Gasto de Obra Pública,2567673138
32,Zacatecas,2020,8,Gasto de Obra Pública,2010497486
32,Zacatecas,2021,8,Gasto de Obra Pública,1084559922
